MBS id 1	Ligand	Species	PDB entry	Name	Uniprot	EC	MBS id 2	Ligand	Species	PDB entry	Name	Uniprot	EC	Global seq identity	E value (local seq alignment)	RMSD	
17374	CU	Thermothelomyces thermophilus ATCC 42464	7ZN6	Laccase-like multicopper oxidase 1	G2QFD0	1,1.10.3.2	15350	CU	Pyrobaculum aerophilum (strain ATCC 51768 / IM2 / DSM 7523 / JCM 9630 / NBRC 100827)	6K3D	Multicopper oxidase	Q8ZWA8	1.10.3.2	17.5516224188791	0.0017	0.236056498831794	
31181	FE	Pseudomonas putida	6ICL	Methylxanthine N3-demethylase NdmB	H9N290	1.14.13.179	20327	FE	Pseudomonas putida	1EG9	PROTEIN (NAPHTHALENE 1,2-DIOXYGENASE ALPHA SUBUNIT)	P0A110	1.14.12.12	16.3934426229508	2	0.236330875852623	
107550	ZN	Homo sapiens	1RM8	Matrix metalloproteinase-16	P51512	3.4.24	124161	ZN	Homo sapiens	3O64	TACE	P78536	3.4.24.86	16	0.44	0.236855804735645	
50734	FE	Comamonas testosteroni (strain DSM 14576 / KF-1)	7FJL	Rieske (2Fe-2S) domain protein	B7WQT1	None	6419	FE	Sinorhizobium meliloti 1021	4QUP	Monoxygenase; demethylase	Q92ZP9	1	17.2211350293542	0.0092	0.236869993500739	
22268	FE	COMAMONAS SP.	2BMQ	OXYGENASE-ALPHA NBDO	Q8RTL4	None	50734	FE	Comamonas testosteroni (strain DSM 14576 / KF-1)	7FJL	Rieske (2Fe-2S) domain protein	B7WQT1	None	17.9841897233202	0.0024	0.237872852740812	
15365	CU	Zea mays	6KLJ	Laccase	Q2PAJ1	1.10.3.2	16277	CU	Pediococcus pentosaceus	6XJ0	Multicopper oxidase mco	A0A379CCN4	1	16.6924265842349	0.026	0.238300886687842	
27489	FE	Pseudomonas sp. C18	4HM3	Naphthalene 1,2-dioxygenase subunit alpha	P0A111	1.14.12.12	2455	FE	Stenotrophomonas maltophilia	3GOB	DdmC	Q5S3I3	1.14.15.-	17.2413793103448	0.26	0.238348869568328	
27539	FE	Pseudomonas sp. C18	4HM7	Naphthalene 1,2-dioxygenase subunit alpha	P0A111	1.14.12.12	31087	FE	Pseudomonas putida	6ICM	Methylxanthine N1-demethylase NdmA	H9N289	1.14.13.178	18.9765458422175	0.035	0.23851152527698	
85503	MN	Homo sapiens	4I5L	Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform, PP2A-alpha	P67775	3.1.3.16	118719	ZN	Shewanella sp.	2Z72	Protein-tyrosine-phosphatase	Q9S427	3.1.3.48	18.1318681318681	0.18	0.238617583390028	
135074	ZN	Homo sapiens	4S3O	E3 ubiquitin-protein ligase RING2	Q99496	6.3.2	118370	ZN	HOMO SAPIENS	2Y43	E3 UBIQUITIN-PROTEIN LIGASE RAD18	Q9NS91	6.3.2	20.9302325581395	0.0073	0.239561477150744	
112101	ZN	Crotalus atrox	2DW0	Catrocollastatin	Q90282	3.4.24.-	124161	ZN	Homo sapiens	3O64	TACE	P78536	3.4.24.86	14.3192488262911	4	0.241060728499927	
28252	FE	Methanosarcina acetivorans	4TPU	Rubredoxin	Q8TQ92	1.8.7.2	6219	CO	Pyrococcus furiosus	9BKL	Rubredoxin	P24297	None	13.2947976878613	0.036	0.241078026576532	
100337	NI	Desulfovibrio desulfuricans	6NW0	Rubredoxin	P04170	None	28252	FE	Methanosarcina acetivorans	4TPU	Rubredoxin	Q8TQ92	1.8.7.2	9.2485549132948	10	0.241224140994595	
22178	FE	Rhodococcus sp.	2B1X	naphthalene dioxygenase large subunit	Q9X3R9	1.14.12.12	31208	FE	Pseudomonas putida	6ICQ	Methylxanthine N1-demethylase NdmA	H9N289	1.14.13.178	19.1836734693878	0.0019	0.241521017112616	
21110	ZN	Desulfovibrio vulgaris subsp. vulgaris	1QYB	Rubrerythrin	P24931	None	44075	FE	Clostridium pasteurianum	1SMW	Rubredoxin	P00268	1.18.1.1	9.42408376963351	3.6	0.241526836861996	
27539	FE	Pseudomonas sp. C18	4HM7	Naphthalene 1,2-dioxygenase subunit alpha	P0A111	1.14.12.12	46561	FE	Janthinobacterium	4NBG	Terminal oxygenase component of carbazole	Q84II6	1.14.12.22	21.7204301075269	0.86	0.242038852521392	
102078	ZN	Crotalus atrox	1ATL	Snake venom metalloproteinase atrolysin-D	P15167	3.4.24.42	124161	ZN	Homo sapiens	3O64	TACE	P78536	3.4.24.86	21.1678832116788	0.15	0.242891722332372	
21113	ZN	Desulfovibrio vulgaris subsp. vulgaris	1QYB	Rubrerythrin	P24931	None	44075	FE	Clostridium pasteurianum	1SMW	Rubredoxin	P00268	1.18.1.1	9.42408376963351	3.6	0.243074400705017	
27489	FE	Pseudomonas sp. C18	4HM3	Naphthalene 1,2-dioxygenase subunit alpha	P0A111	1.14.12.12	31087	FE	Pseudomonas putida	6ICM	Methylxanthine N1-demethylase NdmA	H9N289	1.14.13.178	18.9765458422175	0.035	0.244452131531233	
21323	FE	Desulfovibrio vulgaris	1S2Z	Rubrerythrin	P24931	None	44075	FE	Clostridium pasteurianum	1SMW	Rubredoxin	P00268	1.18.1.1	9.42408376963351	3.6	0.244503796514714	
55385	FE	Arabidopsis thaliana	3S2Q	AT5g51720/MIO24_14	Q9FLI7	None	55413	FE	Ralstonia solanacearum	3TBM	Putative uncharacterized protein	Q8XVB9	None	24.0963855421687	0.52	0.244525454397686	
20867	FE	PSEUDOMONAS PUTIDA	1O7H	NAPHTHALENE 1,2-DIOXYGENASE ALPHA SUBUNIT	P0A110	1.14.12.12	46561	FE	Janthinobacterium	4NBG	Terminal oxygenase component of carbazole	Q84II6	1.14.12.22	21.7204301075269	0.86	0.24503468989008	
25048	FE	Mycobacterium tuberculosis	3IB8	Icc protein	P9WP65	3.1.4.17	25735	FE	Streptococcus pneumoniae	3QFO	Putative uncharacterized protein	Q8DNX4	None	18.6943620178042	10	0.245658706183645	
43644	FE	Desulfovibrio vulgaris	1LKO	Rubrerythrin all-iron(II) form	P24931	None	44075	FE	Clostridium pasteurianum	1SMW	Rubredoxin	P00268	1.18.1.1	9.42408376963351	3.6	0.247364377496852	
52975	FE	Comamonas testosteroni (strain DSM 14576 / KF-1)	7VJU	Rieske (2Fe-2S) domain protein	B7WRJ9	None	45172	FE	Sphingomonas	3GKQ	Terminal oxygenase component of carbazole 1,9a-dioxygenase	Q2PFA6	None	16.9230769230769	0.011	0.247384784903302	
43981	FE	Desulfovibrio vulgaris	1LKP	Rubrerythrin	P24931	None	44075	FE	Clostridium pasteurianum	1SMW	Rubredoxin	P00268	1.18.1.1	9.42408376963351	3.6	0.248709434529407	
55823	FE	Synechocystis sp.	5CXM	Cytochrome b6/f complex iron-sulfur subunit	P74174	None	56137	FE	Thermochromatium tepidum	7YRA	Ubiquinol-cytochrome c reductase iron-sulfur subunit	D1MZ11	7.1.1.8	22.0779220779221	0.011	0.248755027040972	
43644	FE	Desulfovibrio vulgaris	1LKO	Rubrerythrin all-iron(II) form	P24931	None	1440	CO	Clostridium pasteurianum	1R0H	Rubredoxin	P00268	1.18.1.1	8.90052356020942	10	0.249481338048545	
107281	ZN	Deinagkistrodon acutus	1QUA	ACUTOLYSIN-C	P60244	3.4.24.-	124161	ZN	Homo sapiens	3O64	TACE	P78536	3.4.24.86	21.4022140221402	0.0032	0.24979138915288	
98413	ZN	Homo sapiens	4IC3	E3 ubiquitin-protein ligase XIAP	P98170	6.3.2	127671	ZN	HOMO SAPIENS	3ZNI	E3 UBIQUITIN-PROTEIN LIGASE CBL-B	Q13191	6.3.2.19	7.08860759493671	0.0017	0.250074059637917	
12095	CU	BACILLUS SUBTILIS	4AKQ	SPORE COAT PROTEIN	P07788	1.10.3.2	15365	CU	Zea mays	6KLJ	Laccase	Q2PAJ1	1.10.3.2	17.3354735152488	0.33	0.250189897398232	
27539	FE	Pseudomonas sp. C18	4HM7	Naphthalene 1,2-dioxygenase subunit alpha	P0A111	1.14.12.12	50516	FE	Janthinobacterium sp. (strain J3)	7BUG	Terminal oxygenase component of carbazole	Q84II6	1.14.12.22,1.14.12	21.7204301075269	0.8	0.25037400862749	
18576	CU	Saccharomyces cerevisiae	1ZPU	Iron transport multicopper oxidase FET3	P38993	1	12095	CU	BACILLUS SUBTILIS	4AKQ	SPORE COAT PROTEIN	P07788	1.10.3.2	17.7033492822967	0.14	0.251396271375235	
22178	FE	Rhodococcus sp.	2B1X	naphthalene dioxygenase large subunit	Q9X3R9	1.14.12.12	50516	FE	Janthinobacterium sp. (strain J3)	7BUG	Terminal oxygenase component of carbazole	Q84II6	1.14.12.22,1.14.12	17.7551020408163	0.099	0.251991096853294	
104327	ZN	Clostridium pasteurianum	1IRN	RUBREDOXIN	P00268	1.18.1.1	21110	ZN	Desulfovibrio vulgaris subsp. vulgaris	1QYB	Rubrerythrin	P24931	None	8.90052356020942	6.2	0.252238046094186	
22255	FE	COMAMONAS SP.	2BMO	OXYGENASE-ALPHA NBDO	Q8RTL4	None	50516	FE	Janthinobacterium sp. (strain J3)	7BUG	Terminal oxygenase component of carbazole	Q84II6	1.14.12.22,1.14.12	19.9124726477024	1.1	0.252306721400109	
31208	FE	Pseudomonas putida	6ICQ	Methylxanthine N1-demethylase NdmA	H9N289	1.14.13.178	44783	FE	BURKHOLDERIA XENOVORANS	2YFI	BIPHENYL DIOXYGENASE SUBUNIT ALPHA	P37333	1.14.12.18	16.875	0.18	0.252826667196606	
104327	ZN	Clostridium pasteurianum	1IRN	RUBREDOXIN	P00268	1.18.1.1	43644	FE	Desulfovibrio vulgaris	1LKO	Rubrerythrin all-iron(II) form	P24931	None	8.90052356020942	6.2	0.253103042070465	
120419	ZN	Homo sapiens	3EH1	Protein transport protein Sec24B	O95487	None	121054	ZN	Homo sapiens	3G9Y	Zinc finger Ran-binding domain-containing protein 2	O95218	None	1.99733688415446	10	0.253141783965918	
119240	ZN	Mus musculus	3B08	RanBP-type and C3HC4-type zinc finger-containing protein 1	Q9WUB0	2.3.2.31	121054	ZN	Homo sapiens	3G9Y	Zinc finger Ran-binding domain-containing protein 2	O95218	None	17.1875	0.25	0.253459774060356	
122368	ZN	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	3JZE	Dihydroorotase	P06204	3.5.2.3	128591	ZN	HOMO SAPIENS	4C6N	CAD PROTEIN	P27708	3.5.2.3	18.8470066518847	8.9	0.253738452973581	
19007	CU	Candida albicans (strain SC5314 / ATCC MYA-2876)	5KBM	Cell surface Cu-only superoxide dismutase 5	Q5AD07	1.15.1.1	10697	CU	Alvinella pompejana	3F7L	Copper,Zinc Superoxide Dismutase	B6CHW7	1.15.1.1	23.6994219653179	0.51	0.254481963685743	
9919	CU	BACILLUS SUBTILIS	2WSD	SPORE COAT PROTEIN A	P07788	1.10.3.2	15365	CU	Zea mays	6KLJ	Laccase	Q2PAJ1	1.10.3.2	17.3354735152488	0.32	0.254645362064649	
22268	FE	COMAMONAS SP.	2BMQ	OXYGENASE-ALPHA NBDO	Q8RTL4	None	50516	FE	Janthinobacterium sp. (strain J3)	7BUG	Terminal oxygenase component of carbazole	Q84II6	1.14.12.22,1.14.12	19.9124726477024	1.1	0.254917368825	
104327	ZN	Clostridium pasteurianum	1IRN	RUBREDOXIN	P00268	1.18.1.1	21113	ZN	Desulfovibrio vulgaris subsp. vulgaris	1QYB	Rubrerythrin	P24931	None	8.90052356020942	6.2	0.255251728658929	
18603	CU	Saccharomyces cerevisiae	1ZPU	Iron transport multicopper oxidase FET3	P38993	1	9917	CU	BACILLUS SUBTILIS	2WSD	SPORE COAT PROTEIN A	P07788	1.10.3.2	17.5438596491228	0.43	0.255668710993962	
19007	CU	Candida albicans (strain SC5314 / ATCC MYA-2876)	5KBM	Cell surface Cu-only superoxide dismutase 5	Q5AD07	1.15.1.1	7595	CU	Saccharomyces cerevisiae	1F1G	COPPER-ZINC SUPEROXIDE DISMUTASE	P00445	1.15.1.1	24.2424242424242	0.0015	0.256106691806026	
10697	CU	Alvinella pompejana	3F7L	Copper,Zinc Superoxide Dismutase	B6CHW7	1.15.1.1	12867	CU	Candida albicans	4N3U	Potential secreted Cu/Zn superoxide dismutase	Q5AD07	1.15.1.1	23.6994219653179	0.85	0.256295838623297	
43981	FE	Desulfovibrio vulgaris	1LKP	Rubrerythrin	P24931	None	1440	CO	Clostridium pasteurianum	1R0H	Rubredoxin	P00268	1.18.1.1	8.90052356020942	10	0.25647604224897	
8314	CU	Mycobacterium tuberculosis	1PZS	Superoxide dismutase [Cu-Zn]	P9WGE9	1.15.1.1	9580	CU	HOMO SAPIENS	2JLP	EXTRACELLULAR SUPEROXIDE DISMUTASE (CU-ZN)	P08294	1.15.1.1	17.8988326848249	0.0028	0.256656958156677	
22170	FE	Rhodococcus sp.	2B24	naphthalene dioxygenase large subunit	Q9X3R9	1.14.12.12	31208	FE	Pseudomonas putida	6ICQ	Methylxanthine N1-demethylase NdmA	H9N289	1.14.13.178	19.1836734693878	0.0019	0.25692471910995	
97345	ZN	Homo sapiens	3AVS	Lysine-specific demethylase 6A	O15550	1.14.11	107625	ZN	Mus musculus	1RUT	Fusion protein of Lmo4 protein and LIM domain-binding protein 1	P70662	None	8.85122410546139	10	0.257167963703428	
22255	FE	COMAMONAS SP.	2BMO	OXYGENASE-ALPHA NBDO	Q8RTL4	None	50734	FE	Comamonas testosteroni (strain DSM 14576 / KF-1)	7FJL	Rieske (2Fe-2S) domain protein	B7WQT1	None	17.9841897233202	0.0024	0.257694412360688	
94702	MN	Homo sapiens	8SW6	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit	P62136	3.1.3.16	118719	ZN	Shewanella sp.	2Z72	Protein-tyrosine-phosphatase	Q9S427	3.1.3.48	19.6078431372549	1.8	0.25822906727732	
18709	CU	Saccharomyces cerevisiae	2JCW	CU/ZN SUPEROXIDE DISMUTASE	P00445	1.15.1.1	12867	CU	Candida albicans	4N3U	Potential secreted Cu/Zn superoxide dismutase	Q5AD07	1.15.1.1	24.2424242424242	0.0026	0.25832642632018	
22178	FE	Rhodococcus sp.	2B1X	naphthalene dioxygenase large subunit	Q9X3R9	1.14.12.12	46561	FE	Janthinobacterium	4NBG	Terminal oxygenase component of carbazole	Q84II6	1.14.12.22	17.8137651821862	0.1	0.258327578934104	
27539	FE	Pseudomonas sp. C18	4HM7	Naphthalene 1,2-dioxygenase subunit alpha	P0A111	1.14.12.12	2455	FE	Stenotrophomonas maltophilia	3GOB	DdmC	Q5S3I3	1.14.15.-	17.2413793103448	0.26	0.258592927172418	
104327	ZN	Clostridium pasteurianum	1IRN	RUBREDOXIN	P00268	1.18.1.1	43981	FE	Desulfovibrio vulgaris	1LKP	Rubrerythrin	P24931	None	8.90052356020942	6.2	0.258599587374266	
20867	FE	PSEUDOMONAS PUTIDA	1O7H	NAPHTHALENE 1,2-DIOXYGENASE ALPHA SUBUNIT	P0A110	1.14.12.12	31181	FE	Pseudomonas putida	6ICL	Methylxanthine N3-demethylase NdmB	H9N290	1.14.13.179	16.3934426229508	3.1	0.259057063672585	
53667	FE	Themiste dyscritum	1HMO	HEMERYTHRIN	P02246	None	53823	FE	Desulfovibrio vulgaris	2AWC	hemerythrin-like domain protein DcrH	Q9REU3	None	23.9130434782609	0.0027	0.259106249770309	
121575	ZN	Agkistrodon acutus	3HDB	AAHIV	None	3.4.24	124161	ZN	Homo sapiens	3O64	TACE	P78536	3.4.24.86	15.1869158878505	0.048	0.259128541384271	
14908	CU	Salmonella typhimurium (strain 4/74)	6D52	Superoxide dismutase [Cu-Zn] 1	E8XDJ8	1.15.1.1	12955	CU	Hydra vulgaris	4OJA	Superoxide dismutase [Cu-Zn]	I3V7W8	1.15.1.1	22.5806451612903	0.0022	0.259219813961163	
31208	FE	Pseudomonas putida	6ICQ	Methylxanthine N1-demethylase NdmA	H9N289	1.14.13.178	44149	FE	Rhodococcus sp.	1ULI	biphenyl dioxygenase large subunit	Q53122	1.14.12.18	18.2389937106918	0.047	0.259232847069734	
12095	CU	BACILLUS SUBTILIS	4AKQ	SPORE COAT PROTEIN	P07788	1.10.3.2	13119	CU	Botrytis aclada	4X4K	Laccase	H8ZRU2	1.10.3.2	19.4620253164557	0.012	0.259346393509816	
79568	MN	Mycobacterium tuberculosis	1TXO	Putative Bacterial Enzyme	P9WHW5	3.1.3.16	87070	MN	Homo sapiens	4RA2	Protein phosphatase 1A	P35813	3.1.3.16	15.4255319148936	0.094	0.259508971392508	
21113	ZN	Desulfovibrio vulgaris subsp. vulgaris	1QYB	Rubrerythrin	P24931	None	1440	CO	Clostridium pasteurianum	1R0H	Rubredoxin	P00268	1.18.1.1	8.90052356020942	10	0.25970276225005	
55413	FE	Ralstonia solanacearum	3TBM	Putative uncharacterized protein	Q8XVB9	None	56499	FE	Caenorhabditis elegans	7YVZ	CDGSH iron-sulfur domain-containing protein 1 (CISD-1/mitoNEET)	A7LPG5	None	21.1764705882353	0.12	0.25981586534248	
81146	MN	MYCOBACTERIUM SMEGMATIS	2JFR	SER-THR PHOSPHATASE MSPP	A0QTQ6	None	93897	MN	Arabidopsis thaliana	8AY3	Protein phosphatase 2C 16	Q9CAJ0	3.1.3.16	19.1740412979351	5.2	0.260071909737707	
78019	MN	Enterobacteria phage lambda	1G5B	SERINE/THREONINE PROTEIN PHOSPHATASE	P03772	3.1.3	118719	ZN	Shewanella sp.	2Z72	Protein-tyrosine-phosphatase	Q9S427	3.1.3.48	14.6131805157593	5	0.260160657274003	
21110	ZN	Desulfovibrio vulgaris subsp. vulgaris	1QYB	Rubrerythrin	P24931	None	1440	CO	Clostridium pasteurianum	1R0H	Rubredoxin	P00268	1.18.1.1	8.90052356020942	10	0.260644705323347	
